Index	Township	Range	Meridian	"Soil organic matter (0-6"")(%)"	Soil texture	Spring soil moisture	"Soil pH (0-6"" or 0-12"")"	"Soil EC (0-6"" or 0-12"")(mS/cm)"	Crop	Irrigation	Growing season precipitation (May-Aug)(mm)	"Irrigation water amount	 if irrigated (mm)"	Nitrogen fertilizer product	Nitrogen fertilizer application timing	Nitrogen fertilizer application placement	"Soil test nitrogen (0-24"") (lb N/ac)"	Previous crop	Previous crop yield	Previous crop yield unit	Residue management	Crop available nitrogen from applied manure (lb N/ac)	Expected crop price ($/bu)	Fertilizer price ($/tonne)	Investment ratio
60	53	19	W4	11.6	3	1|2|3	6.9	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
61	54	19	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
62	54	19	W4	9.3	3	1|2|3	6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
63	54	19	W4	11.6	3	1|2|3	6.9	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
64	55	19	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
65	55	19	W4	9.3	3	1|2|3	6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
66	55	19	W4	11.6	3	1|2|3	6.9	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
67	53	18	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
68	53	18	W4	8.1	3	1|2|3	5.4	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
69	53	18	W4	11.6	3	1|2|3	6.9	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
70	55	19	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
71	55	19	W4	11.6	3	1|2|3	6.9	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
72	55	20	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
73	55	20	W4	11.6	3	1|2|3	6.9	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
74	56	19	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
75	56	19	W4	11.6	3	1|2|3	6.9	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
76	53	18	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
77	53	18	W4	11.6	3	1|2|3	6.9	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
78	53	18	W4	8.1	3	1|2|3	5.4	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
79	53	18	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
80	52	18	W4	8.1	3	1|2|3	5.4	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
81	52	18	W4	8.1	3	1|2|3	5.6	0	11	1			6	2	1	18.3	7	0	2	2	0	11.97	955	1.5
82	51	17	W4	9.3	3	1|2|3	6.8	0	11	1			6	2	1	22.1	7	0	2	2	0	11.97	955	1.5
83	51	17	W4	10.7	3	1|2|3	6.5	0	11	1			6	2	1	22.1	7	0	2	2	0	11.97	955	1.5
